id_asistencia,id_estudiante,id_asignatura,periodo,porcentaje_asistencia
1,1,228,2023-1,71
2,1,229,2023-1,89
3,1,230,2023-1,75
4,1,231,2023-1,69
5,1,232,2023-2,78
6,1,233,2023-2,80
7,1,234,2023-2,78
8,1,235,2023-2,74
9,1,236,2023-2,81
10,1,237,2024-1,99
11,1,238,2024-1,77
12,1,239,2024-1,85
13,1,240,2024-1,75
14,1,241,2024-1,79
15,1,242,2024-1,92
16,1,943244,2024-2,67
17,1,244,2024-2,73
18,1,245,2024-2,86
19,1,246,2024-2,79
20,1,247,2025-1,57
21,1,248,2025-1,78
22,1,249,2025-1,83
23,1,250,2025-1,89
24,1,251,2025-1,78
25,1,252,2025-2,76
26,1,253,2025-2,85
27,1,254,2025-2,105
28,1,255,2025-2,89
29,1,256,2025-2,75
30,2,210,2024-2,95
31,2,211,2024-2,90
32,2,212,2024-2,84
33,2,213,2024-2,93
34,2,214,2024-2,72
35,2,215,2025-1,93
36,2,216,2025-1,59
37,2,217,2025-1,87
38,2,218,2025-1,87
39,2,219,2025-2,79
40,2,220,2025-2,70
41,2,221,2025-2,90
42,2,222,2025-2,74
43,2,223,2025-2,85
44,3,232,2023-1,83
45,3,233,2023-1,77
46,3,234,2023-1,71
47,3,235,2023-1,88
48,3,236,2023-1,75
49,3,237,2023-2,73
50,3,238,2023-2,75
51,3,239,2023-2,79
52,3,240,2023-2,74
53,3,241,2023-2,91
54,3,242,2023-2,80
55,3,243,2024-1,61
56,3,244,2024-1,83
57,3,245,2024-1,75
58,3,246,2024-1,77
59,3,247,2024-2,77
60,3,248,2024-2,70
61,3,249,2024-2,86
62,3,250,2024-2,79
63,3,251,2024-2,64
64,3,252,2025-1,77
65,3,253,2025-1,79
66,3,254,2025-1,88
67,3,255,2025-1,96
68,3,256,2025-1,79
69,3,257,2025-2,77
70,3,258,2025-2,80
71,3,259,2025-2,69
72,3,260,2025-2,91
73,3,261,2025-2,62
74,4,70,2023-1,65
75,4,958802,2023-1,74
76,4,72,2023-1,60
77,4,73,2023-1,63
78,4,74,2023-2,65
79,4,75,2023-2,65
80,4,76,2023-2,81
81,4,77,2023-2,70
82,4,78,2024-1,54
83,4,79,2024-1,66
84,4,80,2024-1,62
85,4,81,2024-1,67
86,4,82,2024-2,62
87,4,83,2024-2,65
88,4,84,2024-2,54
89,4,85,2024-2,63
90,4,86,2025-1,82
91,4,87,2025-1,58
92,4,88,2025-1,60
93,4,89,2025-1,64
94,5,317,2023-2,67
95,5,318,2023-2,67
96,5,319,2023-2,77
97,5,320,2023-2,58
98,5,321,2024-1,50
99,5,322,2024-1,59
100,5,323,2024-1,77
101,5,324,2024-1,50
102,5,325,2024-1,69
103,5,326,2024-2,60
104,5,327,2024-2,46
105,5,328,2024-2,55
106,5,329,2024-2,65
107,5,330,2024-2,51
108,5,331,2025-1,71
109,5,332,2025-1,66
110,5,333,2025-1,66
111,5,334,2025-1,53
112,5,335,2025-1,68
113,5,336,2025-2,55
114,5,337,2025-2,72
115,5,338,2025-2,49
116,5,339,2025-2,57
117,5,340,2025-2,59
118,5,341,2025-2,56
119,6,48,2023-2,74
120,6,49,2023-2,63
121,6,50,2023-2,59
122,6,51,2023-2,63
123,6,52,2024-1,56
124,6,53,2024-1,69
125,6,969032,2024-1,64
126,6,55,2024-1,66
127,6,56,2024-1,61
128,6,57,2024-1,53
129,6,58,2024-2,69
130,6,59,2024-2,69
131,6,60,2024-2,58
132,6,61,2024-2,54
133,6,62,2024-2,59
134,6,63,2024-2,61
135,6,64,2025-1,54
136,6,65,2025-1,74
137,6,66,2025-1,79
138,6,67,2025-1,69
139,6,68,2025-1,60
140,6,69,2025-1,62
141,6,70,2025-2,49
142,6,71,2025-2,57
143,6,72,2025-2,71
144,6,73,2025-2,57
145,7,158,2025-1,27
146,7,159,2025-1,49
147,7,160,2025-1,48
148,7,161,2025-1,26
149,7,162,2025-2,52
150,7,163,2025-2,51
151,7,164,2025-2,57
152,7,165,2025-2,44
153,7,166,2025-2,48
154,8,162,2023-1,90
155,8,163,2023-1,82
156,8,164,2023-1,89
157,8,165,2023-1,80
158,8,166,2023-1,78
159,8,167,2023-2,74
160,8,168,2023-2,73
161,8,169,2023-2,91
162,8,170,2023-2,75
163,8,171,2023-2,78
164,8,172,2023-2,79
165,8,173,2024-1,87
166,8,174,2024-1,87
167,8,175,2024-1,70
168,8,176,2024-1,95
169,8,177,2024-1,87
170,8,178,2024-1,100
171,8,179,2024-2,77
172,8,180,2024-2,85
173,8,181,2024-2,81
174,8,182,2024-2,84
175,8,183,2024-2,76
176,9,266,2025-1,81
177,9,267,2025-1,64
178,9,268,2025-1,78
179,9,269,2025-1,67
180,9,270,2025-1,77
181,9,271,2025-2,75
182,9,272,2025-2,80
183,9,273,2025-2,78
184,9,274,2025-2,77
185,10,285,2023-1,56
186,10,286,2023-1,76
187,10,287,2023-1,87
188,10,288,2023-1,66
189,10,289,2023-1,68
190,10,290,2023-2,56
191,10,957516,2023-2,84
192,10,292,2023-2,64
193,10,293,2023-2,60
194,10,294,2023-2,53
195,10,295,2024-1,81
196,10,296,2024-1,80
197,10,297,2024-1,64
198,10,298,2024-1,63
199,10,299,2024-1,69
200,10,300,2024-2,73
201,10,301,2024-2,72
202,10,302,2024-2,70
203,10,303,2024-2,74
204,10,304,2024-2,67
205,10,305,2024-2,61
206,10,961792,2025-1,73
207,10,307,2025-1,59
208,10,308,2025-1,64
209,10,309,2025-1,71
210,10,310,2025-1,61
211,10,311,2025-2,59
212,10,312,2025-2,53
213,10,313,2025-2,64
214,10,314,2025-2,52
215,10,315,2025-2,69
216,10,316,2025-2,60
217,11,107,2023-1,100
218,11,108,2023-1,87
219,11,109,2023-1,87
220,11,110,2023-1,97
221,11,111,2023-2,100
222,11,112,2023-2,89
223,11,113,2023-2,83
224,11,114,2023-2,100
225,11,115,2024-1,86
226,11,116,2024-1,86
227,11,117,2024-1,86
228,11,118,2024-1,82
229,11,119,2024-1,91
230,11,120,2024-2,85
231,11,121,2024-2,92
232,11,122,2024-2,93
233,11,123,2024-2,84
234,11,124,2025-1,91
235,11,125,2025-1,85
236,11,126,2025-1,98
237,11,127,2025-1,87
238,11,128,2025-1,78
239,11,129,2025-1,100
240,11,130,2025-2,100
241,11,131,2025-2,100
242,11,132,2025-2,78
243,11,133,2025-2,77
244,11,134,2025-2,100
245,12,210,2024-1,97
246,12,211,2024-1,78
247,12,212,2024-1,68
248,12,213,2024-1,72
249,12,214,2024-1,78
250,12,215,2024-2,81
251,12,216,2024-2,83
252,12,217,2024-2,81
253,12,218,2024-2,82
254,12,219,2025-1,86
255,12,220,2025-1,58
256,12,221,2025-1,76
257,12,222,2025-1,72
258,12,223,2025-1,64
259,12,224,2025-2,72
260,12,225,2025-2,82
261,12,226,2025-2,87
262,12,227,2025-2,78
263,13,279,2023-1,81
264,13,280,2023-1,87
265,13,281,2023-1,73
266,13,282,2023-1,77
267,13,283,2023-1,81
268,13,284,2023-1,81
269,13,285,2023-2,85
270,13,286,2023-2,88
271,13,287,2023-2,77
272,13,288,2023-2,82
273,13,289,2023-2,88
274,13,290,2024-1,71
275,13,291,2024-1,77
276,13,292,2024-1,74
277,13,293,2024-1,93
278,13,294,2024-1,73
279,13,295,2024-2,77
280,13,296,2024-2,86
281,13,297,2024-2,78
282,13,298,2024-2,80
283,13,299,2024-2,75
284,13,300,2025-1,88
285,13,301,2025-1,85
286,13,302,2025-1,75
287,13,303,2025-1,79
288,13,304,2025-1,80
289,13,305,2025-1,86
290,13,306,2025-2,77
291,13,307,2025-2,82
292,13,308,2025-2,66
293,13,309,2025-2,65
294,13,310,2025-2,87
295,14,266,2023-2,61
296,14,267,2023-2,75
297,14,268,2023-2,80
298,14,269,2023-2,74
299,14,270,2023-2,73
300,14,271,2024-1,73
301,14,272,2024-1,86
302,14,273,2024-1,64
303,14,274,2024-1,89
304,14,275,2024-2,82
305,14,276,2024-2,83
306,14,277,2024-2,75
307,14,278,2024-2,71
308,14,279,2025-1,81
309,14,280,2025-1,88
310,14,281,2025-1,85
311,14,282,2025-1,81
312,14,283,2025-1,67
313,14,284,2025-1,77
314,14,285,2025-2,74
315,14,286,2025-2,71
316,14,287,2025-2,72
317,14,288,2025-2,78
318,14,289,2025-2,75
319,15,279,2023-1,100
320,15,280,2023-1,95
321,15,281,2023-1,82
