id_matricula,id_estudiante,periodo,estado_matricula,fecha_matricula
1,1,2023-1,Matriculado,2023-03-23
2,1,2023-2,Matriculado,2023-08-11
3,1,2024-1,Matriculado,2024-03-03
4,1,2024-2,Matriculado,2024-08-18
5,1,2025-1,Matriculado,2025-03-19
6,1,2025-2,Matriculado,2025-08-20
7,2,2024-2,Matriculado,2024-08-06
8,2,2025-1,Matriculado,2025-03-13
9,2,2025-2,Matriculado,2025-08-07
10,3,2023-1,Matriculado,2023-03-19
11,3,2023-2,Matriculado,2023-08-14
12,3,2024-1,Matriculado,2024-03-11
13,3,2024-2,Matriculado,2024-08-08
14,3,2025-1,Matriculado,2025-03-22
15,3,2025-2,Matriculado,2025-08-23
16,4,2023-1,Matriculado,2023-03-16
17,4,2023-2,Matriculado,2023-08-20
18,4,2024-1,Matriculado,2024-03-18
19,4,2024-2,Matriculado,2024-08-15
20,4,2025-1,Matriculado,2025-03-13
21,4,2025-2,Suspendido,2025-08-04
22,5,2023-2,Matriculado,2023-08-20
23,5,2024-1,Matriculado,2024-03-13
24,5,2024-2,Matriculado,2024-08-21
25,5,2025-1,Matriculado,2025-03-03
26,5,2025-2,Matriculado,2025-08-05
27,6,2023-2,Matriculado,2023-08-25
28,6,2024-1,Matriculado,2024-03-01
29,6,2024-2,Matriculado,2024-08-22
30,6,2025-1,Matriculado,2025-03-18
31,6,2025-2,Matriculado,2025-08-20
32,7,2025-1,Matriculado,2025-03-07
33,7,2025-2,Matriculado,2025-08-11
34,8,2023-1,Matriculado,2023-03-22
35,8,2023-2,Matriculado,2023-08-14
36,8,2024-1,Matriculado,2024-03-12
37,8,2024-2,Matriculado,2024-08-19
38,8,2025-1,Retirado,2025-03-17
39,9,2025-1,Matriculado,2025-03-05
40,9,2025-2,Matriculado,2025-08-02
41,10,2023-1,Matriculado,2023-03-18
42,10,2023-2,Matriculado,2023-08-01
43,10,2024-1,Matriculado,2024-03-12
44,10,2024-2,Matriculado,2024-08-10
45,10,2025-1,Matriculado,2025-03-08
46,10,2025-2,Matriculado,2025-08-19
47,11,2023-1,Matriculado,2023-03-11
48,11,2023-2,Matriculado,2023-08-13
49,11,2024-1,Matriculado,2024-03-18
50,11,2024-2,Matriculado,2024-08-06
51,11,2025-1,Matriculado,2025-03-07
52,11,2025-2,Matriculado,2025-08-12
53,12,2024-1,Matriculado,2024-03-05
54,12,2024-2,Matriculado,2024-08-22
55,12,2025-1,Matriculado,2025-03-01
56,12,2025-2,Matriculado,2025-08-01
