id_nota,id_estudiante,id_asignatura,periodo,nota_final,estado_aprobacion
1,1,228,2023-1,4.5,Aprobado
2,1,229,2023-1,5.4,Aprobado
3,1,230,2023-1,4.2,Aprobado
4,1,231,2023-1,4.6,Aprobado
5,1,232,2023-2,3.8,Reprobado
6,1,233,2023-2,4.9,Aprobado
7,1,234,2023-2,5.4,Aprobado
8,1,235,2023-2,5.6,Aprobado
9,1,236,2023-2,6.1,Aprobado
10,1,237,2024-1,5.4,Aprobado
11,1,238,2024-1,4.9,Aprobado
12,1,239,2024-1,6.0,Aprobado
13,1,240,2024-1,5.2,Aprobado
14,1,241,2024-1,5.0,Aprobado
15,1,242,2024-1,5.0,Aprobado
16,1,243,2024-2,4.9,Aprobado
17,1,244,2024-2,4.8,Aprobado
18,1,245,2024-2,5.2,Aprobado
19,1,246,2024-2,4.7,Aprobado
20,1,247,2025-1,5.0,Aprobado
21,1,248,2025-1,5.2,Aprobado
22,1,249,2025-1,4.9,Aprobado
23,1,250,2025-1,5.7,Aprobado
24,1,251,2025-1,5.8,Aprobado
25,1,252,2025-2,4.4,Aprobado
26,1,253,2025-2,5.8,Aprobado
27,1,254,2025-2,5.1,Aprobado
28,1,255,2025-2,4.7,Aprobado
29,1,256,2025-2,4.5,Aprobado
30,2,210,2024-2,4.9,Aprobado
31,2,211,2024-2,4.3,Aprobado
32,2,212,2024-2,5.0,Aprobado
33,2,213,2024-2,5.0,Aprobado
34,2,214,2024-2,5.1,Aprobado
35,2,215,2025-1,4.5,Aprobado
36,2,216,2025-1,4.5,Aprobado
37,2,217,2025-1,4.9,Aprobado
38,2,218,2025-1,4.5,Aprobado
39,2,219,2025-2,5.6,Aprobado
40,2,220,2025-2,4.4,Aprobado
41,2,221,2025-2,5.7,Aprobado
42,2,222,2025-2,8.0,Aprobado
43,2,223,2025-2,3.5,Reprobado
44,3,232,2023-1,4.0,Aprobado
45,3,233,2023-1,5.0,Aprobado
46,3,234,2023-1,3.8,Reprobado
47,3,235,2023-1,5.8,Aprobado
48,3,236,2023-1,5.5,Aprobado
49,3,237,2023-2,5.0,Aprobado
50,3,238,2023-2,4.6,Aprobado
51,3,239,2023-2,4.3,Aprobado
52,3,240,2023-2,4.9,Aprobado
53,3,241,2023-2,4.1,Aprobado
54,3,242,2023-2,5.1,Aprobado
55,3,953318,2024-1,4.4,Aprobado
56,3,244,2024-1,5.3,Aprobado
57,3,245,2024-1,4.9,Aprobado
58,3,246,2024-1,3.9,Reprobado
59,3,247,2024-2,4.7,Aprobado
60,3,248,2024-2,5.4,Aprobado
61,3,249,2024-2,4.5,Aprobado
62,3,250,2024-2,5.5,Aprobado
63,3,251,2024-2,4.8,Aprobado
64,3,252,2025-1,3.5,Reprobado
65,3,253,2025-1,5.7,Aprobado
66,3,254,2025-1,5.1,Aprobado
67,3,255,2025-1,3.7,Reprobado
68,3,256,2025-1,3.9,Reprobado
69,3,257,2025-2,4.6,Aprobado
70,3,258,2025-2,4.6,Aprobado
71,3,259,2025-2,4.2,Aprobado
72,3,260,2025-2,5.4,Aprobado
73,3,261,2025-2,4.9,Aprobado
74,4,70,2023-1,4.4,Aprobado
75,4,71,2023-1,4.8,Aprobado
76,4,72,2023-1,4.4,Aprobado
77,4,73,2023-1,4.6,Aprobado
78,4,74,2023-2,4.1,Aprobado
79,4,75,2023-2,4.1,Aprobado
80,4,76,2023-2,6.1,Aprobado
81,4,77,2023-2,3.8,Reprobado
82,4,78,2024-1,3.0,Reprobado
83,4,79,2024-1,3.7,Reprobado
84,4,80,2024-1,5.3,Aprobado
85,4,81,2024-1,4.6,Aprobado
86,4,82,2024-2,4.9,Aprobado
87,4,83,2024-2,3.7,Reprobado
88,4,84,2024-2,4.1,Aprobado
89,4,85,2024-2,5.3,Aprobado
90,4,86,2025-1,3.6,Reprobado
91,4,87,2025-1,3.9,Reprobado
92,4,88,2025-1,4.0,Aprobado
93,4,89,2025-1,4.0,Aprobado
94,5,317,2023-2,2.8,Reprobado
95,5,318,2023-2,3.1,Reprobado
96,5,319,2023-2,5.4,Aprobado
97,5,320,2023-2,3.1,Reprobado
98,5,321,2024-1,3.5,Reprobado
99,5,322,2024-1,4.2,Aprobado
100,5,323,2024-1,3.1,Reprobado
101,5,324,2024-1,3.8,Reprobado
102,5,325,2024-1,3.2,Reprobado
103,5,326,2024-2,4.0,Aprobado
104,5,327,2024-2,3.9,Reprobado
105,5,328,2024-2,3.9,Reprobado
106,5,329,2024-2,3.5,Reprobado
107,5,330,2024-2,3.3,Reprobado
108,5,331,2025-1,4.0,Aprobado
109,5,332,2025-1,3.8,Reprobado
110,5,333,2025-1,3.9,Reprobado
111,5,334,2025-1,3.9,Reprobado
112,5,335,2025-1,3.4,Reprobado
113,5,336,2025-2,3.8,Reprobado
114,5,337,2025-2,4.5,Aprobado
115,5,338,2025-2,2.9,Reprobado
116,5,339,2025-2,3.4,Reprobado
117,5,340,2025-2,3.3,Reprobado
118,5,341,2025-2,3.5,Reprobado
119,6,48,2023-2,3.7,Reprobado
120,6,49,2023-2,3.4,Reprobado
121,6,50,2023-2,4.1,Aprobado
122,6,51,2023-2,3.7,Reprobado
123,6,52,2024-1,3.6,Reprobado
124,6,53,2024-1,4.0,Aprobado
125,6,54,2024-1,4.2,Aprobado
126,6,55,2024-1,3.9,Reprobado
